iso_code3,iso_code2,pik_name,cait_name,ndcp_navigators_name,wri_standard_name,unfccc_group,location_type,show_in_cw
ABW,,Aruba,,,,,COUNTRY,No
AFG,,Afghanistan,Afghanistan,Afghanistan,Afghanistan,UNFCCC Non-Annex I,COUNTRY,Yes
AGO,,Angola,Angola,Angola,Angola,UNFCCC Non-Annex I,COUNTRY,Yes
AIA,,Anguilla,,,,,COUNTRY,No
ALB,,Albania,Albania,Albania,Albania,UNFCCC Non-Annex I,COUNTRY,Yes
AND,,Andorra,,Andorra,Andorra,UNFCCC Non-Annex I,COUNTRY,Yes
ANNEXI,Annex-I Parties to the Convention,,,,,,GROUP,No
ANT,,Netherlands Antilles,,,,,COUNTRY,No
AOSIS,Alliance of Small Island States,,,,,,GROUP,No
ARE,,United Arab Emirates,United Arab Emirates,United Arab Emirates (the),United Arab Emirates,UNFCCC Non-Annex I,COUNTRY,Yes
ARG,,Argentina,Argentina,Argentina,Argentina,UNFCCC Non-Annex I,COUNTRY,Yes
ARM,,Armenia,Armenia,Armenia,Armenia,UNFCCC Non-Annex I,COUNTRY,Yes
ATA,,Antarctica,,,,,COUNTRY,No
ATG,,Antigua and Barbuda,Antigua & Barbuda,Antigua and Barbuda,Antigua and Barbuda,UNFCCC Non-Annex I,COUNTRY,Yes
AUS,,Australia,Australia,Australia,Australia,UNFCCC Annex I,COUNTRY,Yes
AUT,,Austria,Austria,Austria,Austria,UNFCCC Annex I,COUNTRY,Yes
AZE,,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,UNFCCC Non-Annex I,COUNTRY,Yes
BASIC,"BASIC countries (Brazil, South Africa, India and China)",,,,,,GROUP,No
BDI,,Burundi,Burundi,Burundi,Burundi,UNFCCC Non-Annex I,COUNTRY,Yes
BEL,,Belgium,Belgium,Belgium,Belgium,UNFCCC Annex I,COUNTRY,Yes
BEN,,Benin,Benin,Benin,Benin,UNFCCC Non-Annex I,COUNTRY,Yes
